Name	FileName	Target	Alergic	Time.h
GSM144309	GSM144309.cel	non7h	Non_Alergic	7
GSM144311	GSM144311.cel	non48h	Non_Alergic	48
GSM144347	GSM144347.cel	non96h	Non_Alergic	96
GSM144362	GSM144362.cel	non0h	Non_Alergic	0
GSM144366	GSM144366.cel	non7h	Non_Alergic	7
GSM144367	GSM144367.cel	non96h	Non_Alergic	96
GSM144368	GSM144368.cel	non7h	Non_Alergic	7
GSM144369	GSM144369.cel	non48h	Non_Alergic	48
GSM144370	GSM144370.cel	non96h	Non_Alergic	96
GSM144371	GSM144371.cel	non0h	Non_Alergic	0
GSM144372	GSM144372.cel	non7h	Non_Alergic	7
GSM144373	GSM144373.cel	non48h	Non_Alergic	48
GSM144374	GSM144374.cel	non96h	Non_Alergic	96
GSM144375	GSM144375.cel	non7h	Non_Alergic	7
GSM144376	GSM144376.cel	non0h	Non_Alergic	0
GSM144419	GSM144419.cel	non48h	Non_Alergic	48
GSM144432	GSM144432.cel	ale48h	Alergic	48
GSM144433	GSM144433.cel	ale96h	Alergic	96
GSM144434	GSM144434.cel	ale0h	Alergic	0
GSM144435	GSM144435.cel	ale7h	Alergic	7
GSM144436	GSM144436.cel	ale96h	Alergic	96
GSM144437	GSM144437.cel	ale0h	Alergic	0
GSM144438	GSM144438.cel	ale7h	Alergic	7
GSM144439	GSM144439.cel	ale48h	Alergic	48
GSM144440	GSM144440.cel	ale96h	Alergic	96
GSM144441	GSM144441.cel	ale0h	Alergic	0
GSM144442	GSM144442.cel	ale7h	Alergic	7
GSM144443	GSM144443.cel	ale96h	Alergic	96
GSM144444	GSM144444.cel	ale0h	Alergic	0
GSM144445	GSM144445.cel	ale7h	Alergic	7
GSM144446	GSM144446.cel	ale96h	Alergic	96
GSM144447	GSM144447.cel	ale7h	Alergic	7
GSM144448	GSM144448.cel	ale48h	Alergic	48
GSM144449	GSM144449.cel	ale96h	Alergic	96
