"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019787","ubiquitin-like protein transferase activity","51/1181","422/17697",2.76320546003568e-05,0.0257530748875325,0.025246971992747,"5930/8452/5903/6596/6049/22954/27252/5193/373/7321/23376/11059/4591/9666/25898/26046/55120/26273/54894/550/81790/83637/55284/55632/117854/57534/26224/92305/26263/26091/50862/257218/84085/154214/387921/51136/57531/143279/90293/148203/57674/6477/57178/130507/51433/83737/26235/153769/153830/84961/285671",51
"GO:0004842","ubiquitin-protein transferase activity","47/1181","397/17697",9.32210477216667e-05,0.0434410082382967,0.0425872996960035,"5930/8452/6596/6049/22954/27252/5193/373/7321/11059/4591/9666/25898/26046/55120/26273/54894/550/81790/55284/55632/117854/57534/26224/92305/26263/26091/50862/257218/84085/154214/387921/51136/57531/143279/90293/148203/57674/6477/130507/51433/83737/26235/153769/153830/84961/285671",47
"GO:0016303","1-phosphatidylinositol-3-kinase activity","7/1181","23/17697",0.000549695782430086,0.17077215640828,0.16741611899976,"5296/9655/5286/9306/5289/5290/5294",7
"GO:0061659","ubiquitin-like protein ligase activity","29/1181","235/17697",0.00101065553384022,0.185990498671223,0.18233538835173,"5930/6596/6049/22954/11059/4591/9666/26046/55120/54894/81790/83637/117854/26224/92305/257218/84085/154214/387921/51136/57531/6477/57178/130507/51433/83737/153769/153830/285671",29
"GO:0016780","phosphotransferase activity, for other substituted phosphate groups","6/1181","19/17697",0.00111193659288287,0.185990498671223,0.18233538835173,"60496/259230/23556/166929/56994/54675",6
"GO:0035004","phosphatidylinositol 3-kinase activity","7/1181","26/17697",0.00123656628473725,0.185990498671223,0.18233538835173,"5296/9655/5286/9306/5289/5290/5294",7
"GO:0001217","bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding","29/1181","242/17697",0.00159648496713496,0.185990498671223,0.18233538835173,"9603/7181/10732/7728/2120/7755/3166/6935/10865/6670/3087/55145/2004/83855/8545/6498/84295/121536/64376/11278/9839/23528/6097/2077/30818/11107/7707/5396/93986",29
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","29/1181","242/17697",0.00159648496713496,0.185990498671223,0.18233538835173,"9603/7181/10732/7728/2120/7755/3166/6935/10865/6670/3087/55145/2004/83855/8545/6498/84295/121536/64376/11278/9839/23528/6097/2077/30818/11107/7707/5396/93986",29
"GO:0061630","ubiquitin protein ligase activity","27/1181","226/17697",0.00237120834210005,0.229403469072971,0.224895201214523,"5930/6596/6049/22954/11059/4591/9666/26046/55120/54894/81790/117854/26224/92305/257218/84085/154214/387921/51136/57531/6477/130507/51433/83737/153769/153830/285671",27
"GO:0052742","phosphatidylinositol kinase activity","7/1181","29/17697",0.00246141061237093,0.229403469072971,0.224895201214523,"5296/9655/5286/9306/5289/5290/5294",7
"GO:0005072","transforming growth factor beta receptor, cytoplasmic mediator activity","4/1181","10/17697",0.00299165125869208,0.253474452100093,0.248493138042557,"4089/4087/4093/4090",4
"GO:0035091","phosphatidylinositol binding","28/1181","245/17697",0.00377380580750624,0.293098917716318,0.287338898325913,"54899/23161/6643/9765/8723/10026/23527/114882/5756/23174/27236/79666/55614/64853/79685/27071/65977/10087/57488/55704/8411/5286/129531/112574/84725/64089/29091/116985",28
"GO:0005154","epidermal growth factor receptor binding","7/1181","33/17697",0.00533594710332154,0.380027090387895,0.372558746845146,"9125/2202/6643/8723/2069/9655/10188",7
