"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016303","1-phosphatidylinositol-3-kinase activity","11/1300","23/17697",1.90989621758738e-07,0.000179721234074972,0.000169679200804605,"5293/9655/5295/1154/5286/9306/23533/9021/5289/84174/5290",11
"GO:0035004","phosphatidylinositol 3-kinase activity","11/1300","26/17697",8.88103940971066e-07,0.000417852904226887,0.000394505119041884,"5293/9655/5295/1154/5286/9306/23533/9021/5289/84174/5290",11
"GO:0035091","phosphatidylinositol binding","40/1300","245/17697",1.4695695773527e-06,0.000460954990762963,0.000435198850275677,"54899/23161/221472/90203/5216/9600/4137/246/8473/10026/23527/114882/23001/23236/6642/23178/7070/27236/26207/55614/64853/51028/79685/65977/53349/64333/57590/8411/5286/112574/91404/115548/117583/124460/64089/29091/5337/83850/116985/64005",40
"GO:0052742","phosphatidylinositol kinase activity","11/1300","29/17697",3.2372773043438e-06,0.00076156948584688,0.000719016327596361,"5293/9655/5295/1154/5286/9306/23533/9021/5289/84174/5290",11
"GO:0005543","phospholipid binding","58/1300","434/17697",6.50881445087467e-06,0.00122495887965461,0.00115651355716594,"54899/23161/221472/90203/5216/950/5320/9600/4137/6622/10125/5724/246/8473/114876/10026/11314/5321/23527/114882/23001/23236/6642/23178/7070/4976/27236/26207/55614/64853/51028/8436/79685/65977/53349/64333/57590/57580/8411/5286/5205/112574/91404/115548/144402/117583/124460/80115/790955/64089/29091/5337/84100/255189/153768/83850/116985/64005",58
"GO:0046935","1-phosphatidylinositol-3-kinase regulator activity","7/1300","14/17697",2.46079041752821e-05,0.00385933963815674,0.00364369668841019,"9655/5295/1154/9306/23533/9021/84174",7
"GO:0035591","signaling adaptor activity","19/1300","98/17697",8.10836890061189e-05,0.0102890744183375,0.00971416612682685,"6451/10140/8935/3667/23542/8631/395/917/9863/27040/4690/5295/23162/10580/10045/9043/2549/120892/84174",19
"GO:0043548","phosphatidylinositol 3-kinase binding","12/1300","46/17697",8.74735338434645e-05,0.0102890744183375,0.00971416612682685,"3667/3932/9655/11151/8660/5295/1154/9306/23533/9021/84174/84985",12
"GO:0035014","phosphatidylinositol 3-kinase regulator activity","7/1300","17/17697",0.00011456752032864,0.0119786707365833,0.0113093552230845,"9655/5295/1154/9306/23533/9021/84174",7
"GO:0060589","nucleoside-triphosphatase regulator activity","44/1300","344/17697",0.000224471526877538,0.0200255454130585,0.0189066058824558,"5216/23365/11080/63940/10484/9938/5350/9732/9610/9744/395/8853/94134/8490/6004/9532/7813/3071/216/23527/23526/23236/7070/23637/26092/10188/5996/10144/54885/23232/84253/64333/57580/257106/1122/132864/26230/374403/64926/120892/394/399/116985/134957",44
"GO:0005178","integrin binding","22/1300","132/17697",0.000238870145491773,0.0200255454130585,0.0189066058824558,"10457/9358/3693/7103/3385/3695/1842/3084/3936/3479/2191/53616/7070/6423/83706/7077/3673/9294/1903/8840/667/11095",22
"GO:0036313","phosphatidylinositol 3-kinase catalytic subunit binding","7/1300","19/17697",0.000260489697881882,0.0200255454130585,0.0189066058824558,"9655/5295/1154/9306/23533/9021/84174",7
"GO:0003779","actin binding","52/1300","431/17697",0.000276654718777642,0.0200255454130585,0.0189066058824558,"54899/5216/120/800/10095/7408/6744/3059/10611/22837/1756/4137/5074/10810/27252/6622/24145/23136/3936/11151/2010/22998/2036/4628/5962/10486/23500/79789/25924/85458/6530/7852/10580/80206/79585/79778/64127/54784/55742/1073/23406/84168/91624/29767/133746/51466/6645/80306/120892/667/79805/64005",52
"GO:0005070","SH3/SH2 adaptor activity","12/1300","52/17697",0.000307786354287165,0.0206876399560159,0.0195317054901028,"6451/10140/8935/3667/8631/395/27040/4690/10580/10045/2549/84174",12
"GO:0035925","mRNA 3'-UTR AU-rich region binding","8/1300","26/17697",0.000391458216379194,0.0245574787741881,0.023185314710459,"7072/22849/1995/11051/64506/132864/7073/27303",8
"GO:0030971","receptor tyrosine kinase binding","14/1300","69/17697",0.00041871447379352,0.0246256449899814,0.0232496720974823,"10140/9600/3667/9732/284/914/9655/3084/3687/4690/5295/199731/53358/83394",14
"GO:0030695","GTPase regulator activity","39/1300","304/17697",0.000468465258069056,0.0259309298731166,0.0244820233938256,"23365/63940/10484/9938/9732/9610/9744/395/8853/94134/8490/6004/7813/3071/216/23527/23526/23236/7070/23637/10188/5996/10144/54885/23232/84253/64333/57580/257106/1122/132864/26230/374403/64926/120892/394/399/116985/134957",39
"GO:0015631","tubulin binding","42/1300","336/17697",0.000500158635605538,0.0261471820058228,0.0246861923070803,"89795/10123/9702/324/6280/9638/22924/4137/6622/2009/22809/2258/8631/2010/27101/23122/23255/56890/4976/6279/85458/23637/56271/6530/23271/9419/55614/440738/79929/84295/55605/84376/57519/219899/84056/115548/120892/667/24139/27072/7756/84140",42
"GO:0017091","AU-rich element binding","8/1300","28/17697",0.000682543517344526,0.0324975067309696,0.0306816887755897,"7072/22849/1995/11051/64506/132864/7073/27303",8
"GO:1901981","phosphatidylinositol phosphate binding","24/1300","161/17697",0.000698549285983852,0.0324975067309696,0.0306816887755897,"23161/221472/90203/5216/4137/246/8473/23527/114882/23236/27236/55614/51028/79685/65977/53349/64333/112574/91404/115548/124460/29091/116985/64005",24
"GO:0001727","lipid kinase activity","7/1300","22/17697",0.000725236600797409,0.0324975067309696,0.0306816887755897,"9655/5295/1154/9306/23533/9021/84174",7
"GO:0001618","virus receptor activity","14/1300","74/17697",0.000875605783636188,0.0369226461277051,0.0348595708169172,"941/3693/950/3695/6504/7037/9074/6510/6317/6404/1803/7293/7852/3673",14
"GO:0005096","GTPase activator activity","35/1300","273/17697",0.000902466377191517,0.0369226461277051,0.0348595708169172,"23365/10484/9938/9732/9610/9744/395/8853/94134/8490/6004/7813/3071/216/23527/23526/23236/7070/23637/5996/10144/54885/23232/84253/64333/57580/257106/1122/26230/374403/64926/120892/394/116985/134957",35
"GO:0050839","cell adhesion molecule binding","56/1300","499/17697",0.00098859432302171,0.0387611357484762,0.0365953337118563,"10457/3683/9358/10801/1656/5216/1363/3693/800/10226/7408/10611/22837/7103/3385/101/3695/10178/1842/10288/3084/3936/10006/23075/2010/3479/2191/6772/4690/5962/23348/5586/6642/53616/5315/7070/1004/54874/2060/79180/10938/55742/64855/6423/83706/7077/3673/9294/1903/8840/5787/29091/667/58513/11095/83872",56
"GO:0003714","transcription corepressor activity","31/1300","238/17697",0.00133331482309784,0.0501859699414028,0.047381798345035,"166968/9611/1488/3726/25937/10443/10140/5074/7091/22809/5971/7026/3400/6935/6597/10865/708/51564/55758/23411/23414/55509/79365/51616/473/83666/79039/57708/286205/7068/30818",31
"GO:0031690","adrenergic receptor binding","6/1300","19/17697",0.00183121048294219,0.066275733248023,0.0625725363402108,"7345/9863/1742/708/57561/153",6
"GO:0008017","microtubule binding","31/1300","246/17697",0.00225834757008786,0.0787075949426917,0.0743097602009417,"89795/9702/324/6280/22924/4137/6622/2009/2258/8631/23122/23255/56890/4976/6279/23271/9419/55614/440738/79929/55605/84376/57519/84056/115548/120892/667/24139/27072/7756/84140",31
"GO:1990782","protein tyrosine kinase binding","15/1300","93/17697",0.00308568296823525,0.103700988325335,0.0979066325259606,"10140/9600/3667/9732/284/914/9655/3084/919/3687/4690/5295/199731/53358/83394",15
"GO:0005518","collagen binding","12/1300","68/17697",0.00366258380822926,0.11884452977737,0.112204019388221,"4811/1513/9806/4089/4318/4321/1842/84168/4921/3673/4060/1634",12
"GO:0030159","receptor signaling complex scaffold activity","8/1300","36/17697",0.00393186121101383,0.123329379985467,0.116438275863006,"3667/917/9863/4690/5295/23162/9043/120892",8
"GO:0005158","insulin receptor binding","6/1300","22/17697",0.00416387328732593,0.12370928039998,0.116796949110781,"3667/8660/3479/5295/6642/10580",6
"GO:0004896","cytokine receptor activity","15/1300","96/17697",0.00420690432816085,0.12370928039998,0.116796949110781,"3566/3561/3587/1230/3575/1236/8807/3572/7852/2833/10148/9466/5618/54756/2674",15
"GO:0019207","kinase regulator activity","26/1300","207/17697",0.00509690607792402,0.144233120780742,0.136174007426529,"7453/1026/324/10253/2258/5880/9655/3084/10006/6453/3071/4690/57498/5295/51562/1154/4040/9306/8649/23533/9021/84174/5290/399/1030/6789",26
"GO:0008237","metallopeptidase activity","25/1300","197/17697",0.00521139862544657,0.144233120780742,0.136174007426529,"1363/7076/9806/4318/4321/101/8434/1359/10404/8728/2191/53616/51056/22802/64066/10003/4325/7077/129293/5069/170689/10072/57486/79805/11095",25
"GO:0017147","Wnt-protein binding","8/1300","38/17697",0.0055772163081454,0.14660479864566,0.13841316634816,"2487/8434/6423/115908/4040/7976/129293/79971",8
"GO:0004715","non-membrane spanning protein tyrosine kinase activity","9/1300","46/17697",0.00560868517666714,0.14660479864566,0.13841316634816,"7535/1445/3932/3702/7465/10188/3718/2241/2444",9
"GO:0004222","metalloendopeptidase activity","17/1300","119/17697",0.0061354689410485,0.151939138907082,0.143449447102832,"7076/9806/4318/4321/101/8434/8728/2191/53616/64066/4325/7077/129293/5069/170689/57486/11095",17
"GO:0051010","microtubule plus-end binding","5/1300","17/17697",0.00622571762062828,0.151939138907082,0.143449447102832,"324/22924/8631/23122/667",5
"GO:0060090","molecular adaptor activity","41/1300","373/17697",0.00629715878573452,0.151939138907082,0.143449447102832,"160/6451/950/10133/10140/4137/8470/8935/3667/23542/8492/8631/9659/395/917/7037/7804/57515/6453/9863/27040/4690/5295/375056/23162/923/10580/56649/81035/10045/10016/9043/4040/286257/8649/2549/120892/921/636/84174/136853",41
"GO:0016763","transferase activity, transferring pentosyl groups","9/1300","47/17697",0.0064951204717856,0.152797709098756,0.144260044162817,"4860/7378/1890/64761/79070/83666/54625/143888/727936",9
"GO:0051721","protein phosphatase 2A binding","7/1300","32/17697",0.0075065814774484,0.172285199275096,0.162658658972181,"4137/29966/596/6772/9258/55917/116443",7
"GO:0005201","extracellular matrix structural constituent","21/1300","163/17697",0.00836823129486868,0.186092561689114,0.175694526612911,"2202/4811/3730/22915/7286/1805/81578/1287/8076/3371/375790/4969/85301/115908/1295/4060/1286/83872/4256/340267/1634",21
"GO:0001664","G protein-coupled receptor binding","32/1300","280/17697",0.00850369835561305,0.186092561689114,0.175694526612911,"23365/7345/6366/2769/185/6367/6361/1908/9863/6362/6772/6363/1742/23322/708/6347/582/51384/57561/115908/4040/25927/9294/2770/7275/79971/153/636/7482/8565/116985/552",32
"GO:0008239","dipeptidyl-peptidase activity","4/1300","12/17697",0.00889398650707479,0.18687378717974,0.176432100654064,"2191/1803/10003/10072",4
"GO:0005154","epidermal growth factor receptor binding","7/1300","33/17697",0.00893657855801095,0.18687378717974,0.176432100654064,"2202/5359/9655/6642/10188/2241/685",7
"GO:0017016","Ras GTPase binding","45/1300","429/17697",0.00995149713311223,0.203490727599275,0.192120559420312,"221472/5216/23365/10276/10133/22841/29966/9771/9732/9610/10125/11069/6453/7813/3071/6655/23527/5586/23500/25924/23637/30000/79711/79778/55614/54885/23232/10938/83593/57580/22836/1122/55667/57531/26230/80143/374403/5063/153/120892/29091/636/399/57449/134957",45
"GO:0070300","phosphatidic acid binding","5/1300","19/17697",0.0103479306183293,0.203490727599275,0.192120559420312,"9600/4976/26207/91404/790955",5
"GO:1901567","fatty acid derivative binding","8/1300","42/17697",0.0103799733525666,0.203490727599275,0.192120559420312,"5737/6280/33/3248/6279/11332/1241/4329",8
