"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1405_i_at","CCL5","6352","C-C motif chemokine ligand 5",1.54960179808842,5.09167991642324,1.09691506265072,0.282278940345477,0.402281719402312,-5.6118552124087
"2","1438_at","EPHB3","2049","EPH receptor B3",-0.686807009515568,6.51756337706651,-0.884401705990056,0.384217496305439,0.506135557943232,-5.81358909913051
"3","1552256_a_at","SCARB1","949","scavenger receptor class B member 1",-0.615576572549628,7.37421185231015,-1.03773118467829,0.308517543009988,0.429568295094725,-5.67205635790782
"4","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",-2.12380602755365,5.66451313126479,-4.04634158861528,0.000386229292835725,0.00926439167380681,0.108607005565704
"5","1552289_a_at","CILP2","148113","cartilage intermediate layer protein 2",0.208598498046427,5.92053559568745,0.159946947961917,0.874102748795899,0.914535213633378,-6.18413967808211
"6","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",-1.31462690775315,5.04285276967166,-2.65011524003017,0.0132371426658896,0.047488013945055,-3.10502501762526
"7","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor",-1.0408122035607,4.18888943096394,-2.10602858226517,0.0445515883170946,0.103318717917897,-4.15988313023559
"8","1552476_s_at","PLCD3","113026","phospholipase C delta 3",-1.38655871343749,5.31207278598842,-2.46731468927347,0.0201800176158277,0.0617586512147608,-3.47640521597313
"9","1552477_a_at","IRF6","3664","interferon regulatory factor 6",0.258247092799961,7.00435565698189,0.284028652960596,0.778535755079902,0.843232628005803,-6.15679953454129
"10","1552487_a_at","BNC1","646","basonuclin 1",-0.106034288935687,5.24447957092755,-0.115445171314838,0.908938911637313,0.941637052698927,-6.19022972239281
"11","1552496_a_at","COBL","23242","cordon-bleu WH2 repeat protein",-0.964164974524915,5.25987068655671,-1.34621301757453,0.189328012917508,0.297220820776815,-5.32548389544083
"12","1552519_at","ACVR1C","130399","activin A receptor type 1C",-1.90715835274806,5.09695586361403,-2.15228731242671,0.0403900196848181,0.0968285452900298,-4.07646248540208
"13","1552532_a_at","ATP6V1C2","245973","ATPase H+ transporting V1 subunit C2",0.176757445452482,5.98272268125487,0.315190519049631,0.755018394635716,0.823775207125795,-6.14754546509814
"14","1552544_at","SERPINA12","145264","serpin family A member 12",-3.20673664953148,9.28544021219311,-2.71877356648305,0.0112616379267287,0.043098407968452,-2.96159950418674
"15","1552584_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1",1.23641396864239,4.83356158272572,1.77098575715813,0.0877509226626709,0.167911856566962,-4.72394882644322
"16","1552620_at","SPRR4","163778","small proline rich protein 4",-0.71096892149873,7.80113693399632,-0.58007486667728,0.566630764145743,0.671858386072197,-6.03058896566311
"17","1552625_a_at","TRNT1","51095","tRNA nucleotidyl transferase 1",-0.333819817854767,4.75343747098923,-0.582202157807071,0.565217500021334,0.671078802768471,-6.02937506790278
"18","1552658_a_at","NAV3","89795","neuron navigator 3",-3.04792730768317,5.01437983980761,-5.74158054417009,4.05566927859814e-06,0.00169527404608919,4.32457683362484
"19","1552667_a_at","SH2D3C","10044","SH2 domain containing 3C",-0.238342477553789,4.78391799594471,-0.375875897722822,0.709919933015576,0.788730427782063,-6.12678549556002
"20","1552685_a_at","GRHL1","29841","grainyhead like transcription factor 1",-0.538649647642843,7.06088338666363,-0.673304996864784,0.506424821093242,0.618186680748496,-5.97334249600674
"21","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",-1.24922043788936,5.27174557291819,-1.15212693098792,0.259278055755944,0.378304458557414,-5.55295561310746
"22","1552733_at","KLHDC1","122773","kelch domain containing 1",-2.07881381945812,5.66198733085351,-2.90016756418661,0.00729046358181081,0.0335827381795924,-2.57322610255869
